Store,PRODUCT NAME,CLOTHING CATEGORY,PRICE,DESCRIPTION,Product Page URL,STATIC IMAGE URL
Anthropologie,MOTHER The Tripper Weekender Ultra High-Rise Flare Jeans,Jeans,$238.00,"Characterized by a slim fit that gradually widens below the knee, flared jeans were first used in the 19th century by American sailors for pragmatic purposes - the larger hem made it easier to grab men overboard and undress when soaked. However, in the mid-60s Sonny and Cher inspired the everyday use among the public. Commonly referred to as ""bell-bottoms,"" flared jeans remain a sartorial symbol of the freedom and forward-thinking that revolutionized the ...",https://www.anthropologie.com/shop/mother-the-tripper-weekender-ultra-high-rise-flare-jeans?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Manhattan High-Rise Bootcut Jeans,Jeans,$219.00,"Roomy enough to style with your ankle boots, but not as dramatic as the flare, these bootcut jeans feel sensibly wearable - and eternally chic.",https://www.anthropologie.com/shop/paige-manhattan-high-rise-bootcut-jeans2?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Pleated Ultra High-Rise Straight Jeans,Jeans,$238.00,This relaxed pair features seamed details at the waist for a contemporary feminine touch.,https://www.anthropologie.com/shop/mother-the-pleated-ultra-high-rise-straight-jeans?category=shop-all-jeans&color=092&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,MOTHER The Weekender Mid-Rise Bootcut Jeans,Jeans,$238.00,"Roomy enough to style with your ankle boots, but not as dramatic as the flare, these bootcut jeans feel sensibly wearable - and eternally chic.",https://www.anthropologie.com/shop/mother-the-weekender-mid-rise-bootcut-jeans4?category=shop-all-jeans&color=005&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Mother Wilder Flare Jeans,Jeans,$278.00,"Founded in 2010 by denim vets Lela Tillem and Tim Kaeding, Mother prides itself on nailing the four f's of denim: fit, fabric, finish and feel. A study in contrasts, their pairs are stark and sexy in their presentation, while remaining soft and nurturing to the touch. Straight and slim through the knee with a kicky flare, this mid-rise pair is instantly elongating and seriously slimming thanks to the hip-balancing silhouette.",https://www.anthropologie.com/shop/mother-the-slant-drama-high-rise-seamed-flare-jeans?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Hoxton High-Rise Cargo Skinny Jeans,Jeans,$199.00,"Just to note: shoes, bedding, curtains, and swimwear must be shipped back to our warehouse and cannot be returned to a store. Good news – online returns for these items are free!",https://www.anthropologie.com/shop/paige-hoxton-high-rise-cargo-skinny-jeans?category=shop-all-jeans&color=031&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro Velvet High-Rise Skinny Ankle Jeans,Jeans,$150.00,"Rendered in plush velvet, these floral jeans are an elegant essential for workdays and weekends alike.",https://www.anthropologie.com/shop/pilcro-velvet-high-rise-skinny-ankle-jeans2?category=shop-all-jeans&color=044&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,AG The Ex-Boyfriend Mid-Rise Slim Ankle Jeans,Jeans,$215.00,"When it comes to laidback comfort, boyfriend jeans reign supreme. Beloved for their relaxed, slouchy fit, this borrowed-from-the-boys style has a lived-in feel that only gets better with time. Cuffing the hem to showcase a pair of heels instantly elevates this mid-rise pair.",https://www.anthropologie.com/shop/ag-the-ex-boyfriend-mid-rise-slim-ankle-jeans2?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Utility Bootcut Jeans,Jeans,$140.00,"With utility-inspired touches, these bootcut jeans feature a high rise and the perfect amount of flare.",https://www.anthropologie.com/shop/pilcro-high-rise-utility-bootcut-jeans2?category=shop-all-jeans&color=031&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Embroidered Boyfriend Jeans,Jeans,$158.00,"This high-rise pair features eye-catching embroidery for a charming, well-loved finish.",https://www.anthropologie.com/shop/pilcro-high-rise-embroidered-boyfriend-jeans?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
